
=== Session started 2026-07-11T10:38:47.152252 (192.168.1.168:23) ===
[10:38:47.157] [dev] eDrum telnet console
[10:39:20.186] [DBG] hit output OFF (quiet)
[10:39:21.664] [DBG] hit output ON
[10:39:38.794] [SCOPE] Active: input=0 floor=15
[10:39:44.462] [HIT] t=1583437 i=0 note=38 vel=35 raw=35 truepeak=909 ch=10 rescues=0 thresh=-1.000 peak=-1.000 mask=-1 decay=-1 decaylen=-1 xfilt=-1.000 xfiltdecay=-1.000 loopt=0 piezodc=698.0 dchead=12.2 spikerej=98 rcstate=2 lcp=909 refrise=1
[10:39:44.467] [SysEx TX] F0 00 7D 00 05 03 00 00 23 23 F7
[10:39:44.473] [SCOPE] input=0 pad_type=2 head_ch=1 rim_ch=0 head_peak=1230 rim_peak=66 decision=HEAD samples=200
[10:39:45.277] T,H,R
[10:39:45.984] 35,26,5
[10:39:45.986] 36,34,5
[10:39:45.987] 37,53,2
[10:39:45.988] 38,64,8
[10:39:45.993] 39,79,11
[10:39:45.996] 40,79,4
[10:39:45.998] 41,82,0
[10:39:46.001] 42,77,2
[10:39:46.007] 43,73,7
[10:39:46.007] 44,65,2
[10:39:46.008] 45,54,4
[10:39:46.011] 46,52,2
[10:39:46.015] 47,40,4
[10:39:46.016] 48,38,6
[10:39:46.020] 49,20,1
[10:39:46.022] 50,4,0
[10:39:46.024] 51,0,3
[10:39:46.029] 52,0,2
[10:39:46.029] 53,0,8
[10:39:46.037] 54,0,0
[10:39:46.037] 55,0,2
[10:39:46.038] 56,0,0
[10:39:46.040] 57,0,0
[10:39:46.044] 58,0,2
[10:39:46.047] 59,0,0
[10:39:46.051] 60,0,2
[10:39:46.051] 61,0,0
[10:39:46.054] 62,2,0
[10:39:46.060] 63,16,1
[10:39:46.060] 64,11,0
[10:39:46.064] 65,37,6
[10:39:46.067] 66,47,0
[10:39:46.070] 67,54,0
[10:39:46.079] 68,73,2
[10:39:46.079] 69,64,0
[10:39:46.080] 70,74,5
[10:39:46.088] 71,78,0
[10:39:46.089] 72,75,3
[10:39:46.089] 73,76,2
[10:39:46.101] 74,62,0
[10:39:46.101] 75,44,1
[10:39:46.101] 76,41,0
[10:39:46.101] 77,37,8
[10:39:46.105] 78,27,1
[10:39:46.109] 79,9,6
[10:39:46.109] 80,5,0
[10:39:46.112] 81,0,1
[10:39:46.117] 82,0,4
[10:39:46.118] 83,0,0
[10:39:46.121] 84,0,2
[10:39:46.124] 85,0,0
[10:39:46.134] 86,0,3
[10:39:46.134] 87,0,3
[10:39:46.134] 88,0,0
[10:39:46.138] 89,0,4
[10:39:46.139] 90,0,1
[10:39:46.141] 91,0,0
